docx_name,guideline_key,id,control_description,control_requirement
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,1,Data center security - Environmental requirements,Environmental safeguards must be considered for data center locations.
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,1.1,Data center security - Environmental requirements,Areas susceptible to flooding and floodplains must be avoided. (ENV01.01)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,1.2,Data center security - Environmental requirements,Production and storage facilities or pipelines which are at risk of explosion must be avoided. (ENV02.01)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,1.3,Data center security - Environmental requirements,Operating and storage facilities with harmful emissions or the release of pollutants must be avoided. (ENV03.01)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,1.4,Data center security - Environmental requirements,Sources of electromagnetic interference must be avoided. (ENV04.01)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,1.5,Data center security - Environmental requirements,Sources of vibration must be avoided. (ENV05.01)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,1.6,Data center security - Environmental requirements,"Transport routes with an increased volume of hazardous materials must be avoided. (ENV06.01, ENV06.01I)"
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,1.7,Data center security - Environmental requirements,Properties in the neighborhood which are at risk of being attacked must be avoided. (ENV07.01)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,1.8,Data center security - Environmental requirements,Locations in the vicinity of major events and access routes leading to them must be avoided. (ENV08.01)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,1.9,Data center security - Environmental requirements,Locations must be protected against impairment by structures at risk of collapse. (ENV09.01)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,1.10,Data center security - Environmental requirements,Locations must be outside avalanche areas. (ENV10.01)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,1.11,Data center security - Environmental requirements,Wildfire hazards must be avoided (ENV11.01)
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,2,Data center security - Construction requirements,Data center locations must meet the following constructional criteria:
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,2.1,Data center security - Construction requirements,"Security areas must be in inconspicuous, unexposed position. (CON01.01)"
Data Center and Physical Protection Guideline_v.2.0,data center and physical protection,2.2,Data center security - Construction requirements,Building areas with potential hazards must be avoided. (CON01.02)
